time,Precipitation,Grapes
2019,18.82,6209
2018,4.79,8289
2017,19,10673
2016,9.65,12686
2015,8.52,14763
2014,6.08,20591
2013,5.85,18066
2012,8.69,20188
2010,16.36,6627
2009,9.08,8150
2008,13.53,13830
2007,3.21,15944
2006,13.19,18874
2005,37.25,19548
2004,9.24,15575
2003,16.49,14682
2002,4.42,16225
2000,11.57,27750
1999,9.09,33010
1998,31.01,44846
1997,12.4,54321
1996,12.46,44598
1995,24.35,32448
1994,8.11,31856
1993,27.36,22337
1992,21,12818
1991,11.47,8191
1990,7.35,17446
1989,8.08,23268
1988,12.48,21476
1987,7.66,16018
1986,17.86,10411
1985,12.82,14460
1984,10.43,14315
1983,31.25,23285