County,planted_2011,planted_2012,planted_2013,planted_2014,planted_2015,planted_2016,planted_2017,planted_2018,planted_2019
Alameda,20,10,0,5,17,15,6,2,20
Amador,64,203,42,43,67,24,33,14,19
Butte,5,13,1,1,0,1,4,2,0
Calaveras,8,6,5,0,15,10,5,4,1
Colusa,0,0,0,0,0,0,0,12,335
Contra Costa,35,43,25,37,2,0,4,8,4
El Dorado,29,65,23,102,39,52,25,19,12
Fresno,"1,164","1,295","1,384","1,473",630,274,335,121,585
Glenn,0,0,0,0,1,0,0,0,0
Humboldt,0,0,0,1,0,0,0,0,0
Kern,494,847,"1,063",243,280,35,12,0,0
Kings,0,179,113,144,0,47,0,0,192
Lake,89,146,298,605,599,230,107,377,192
Lassen,0,0,0,0,0,0,0,0,0
Los Angeles,3,0,3,7,1,0,0,0,0
Madera,595,"1,502",267,281,100,143,789,558,33
Marin,1,1,1,0,0,11,0,1,0
Mariposa,0,0,0,0,0,0,0,0,0
Mendocino,202,551,335,352,379,231,278,406,281
Merced,481,"1,106",650,5,232,200,134,0,388
Monterey,759,"1,193","1,043","1,316",370,346,705,119,323
Napa,758,737,581,777,"1,043",901,761,628,363
Nevada,3,0,1,4,2,0,0,1,1
Orange,0,0,0,0,0,0,0,0,1
Placer,0,2,2,3,0,2,0,1,2
Riverside,27,50,44,45,24,28,12,12,2
Sacramento,822,798,"1,943","1,890",526,445,835,566,40
San Benito,0,92,64,18,43,35,30,0,5
San Bernardino,0,2,3,0,0,0,0,0,0
San Diego,31,32,42,30,29,35,14,16,33
San Joaquin,"1,038","1,234",880,"2,991","1,710","1,948",732,799,592
San Luis Obispo,479,"1,463","2,567","1,462","1,646","1,432",508,624,376
San Mateo,0,6,0,3,0,0,2,0,1
Santa Barbara,274,743,440,112,252,844,775,66,56
Santa Clara,15,18,61,20,122,38,7,18,2
Santa Cruz,3,8,14,13,32,0,1,2,0
Shasta,0,4,0,0,1,0,0,0,0
Siskiyou,0,0,0,0,1,0,0,0,0
Solano,22,34,0,151,255,18,105,0,20
Sonoma,552,736,791,707,769,819,557,745,485
Stanislaus,10,111,324,32,141,197,0,0,8
Sutter,0,0,0,0,0,0,0,0,0
Tehama,0,3,1,3,2,0,0,0,0
Trinity,0,0,1,1,0,0,0,0,4
Tulare,165,482,505,256,95,63,74,5,45
Tuolumne,0,3,1,0,0,0,0,0,0
Ventura,1,1,1,0,0,4,0,0,0
Yolo,335,471,"1,032",995,344,221,101,434,85
Yuba,0,3,0,0,0,0,0,0,0